2021-02-10 14:00:34.055033: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudart.so.11.0
2021-02-10 14:04:32.231031: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-02-10 14:04:32.234344: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcuda.so.1
2021-02-10 14:04:32.303520: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1720] Found device 0 with properties: 
pciBusID: 0000:02:00.0 name: Tesla K40m computeCapability: 3.5
coreClock: 0.745GHz coreCount: 15 deviceMemorySize: 11.92GiB deviceMemoryBandwidth: 268.58GiB/s
2021-02-10 14:04:32.306292: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1720] Found device 1 with properties: 
pciBusID: 0000:03:00.0 name: Tesla K40m computeCapability: 3.5
coreClock: 0.745GHz coreCount: 15 deviceMemorySize: 11.92GiB deviceMemoryBandwidth: 268.58GiB/s
2021-02-10 14:04:32.307185: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudart.so.11.0
2021-02-10 14:04:32.373374: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcublas.so.11
2021-02-10 14:04:32.374508: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcublasLt.so.11
2021-02-10 14:04:32.403531: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcufft.so.10
2021-02-10 14:04:32.427333: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcurand.so.10
2021-02-10 14:04:32.429103: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'libcusolver.so.10'; dlerror: libcusolver.so.10: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /.singularity.d/libs
2021-02-10 14:04:32.445065: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcusparse.so.11
2021-02-10 14:04:32.446353: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'libcudnn.so.8'; dlerror: libcudnn.so.8: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /.singularity.d/libs
2021-02-10 14:04:32.447166: W tensorflow/core/common_runtime/gpu/gpu_device.cc:1757] Cannot dlopen some GPU libraries. Please make sure the missing libraries mentioned above are installed properly if you would like to use GPU. Follow the guide at https://www.tensorflow.org/install/gpu for how to download and setup the required libraries for your platform.
Skipping registering GPU devices...
2021-02-10 14:04:32.450167: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-02-10 14:04:32.450962: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1261] Device interconnect StreamExecutor with strength 1 edge matrix:
2021-02-10 14:04:32.451741: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1267]      
INFO: loading CT volume...
Done.
3D FFT computed.


Epoch 1: training on 10935 images and validating on 3645 images.

2021-02-10 14:04:40.241353: I tensorflow/compiler/mlir/mlir_graph_optimization_pass.cc:116] None of the MLIR optimization passes are enabled (registered 2)
2021-02-10 14:04:40.245281: I tensorflow/core/platform/profile_utils/cpu_utils.cc:112] CPU Frequency: 2100160000 Hz
Step 1: 	 loss = 72.9257 	 acc = 0.0000 	 (9.23 seconds/step)
Step 55: 	 loss = 68.5665 	 acc = 0.1250 	 (2.75 seconds/step)
Step 56: 	 loss = 66.6021 	 acc = 0.2500 	 (2.71 seconds/step)
Step 57: 	 loss = 68.0886 	 acc = 0.0000 	 (2.76 seconds/step)
Step 58: 	 loss = 60.9621 	 acc = 0.0000 	 (2.68 seconds/step)
Step 59: 	 loss = 64.6923 	 acc = 0.0000 	 (2.79 seconds/step)
Step 60: 	 loss = 68.3992 	 acc = 0.0000 	 (2.80 seconds/step)
Step 61: 	 loss = 63.6743 	 acc = 0.1250 	 (2.91 seconds/step)
Step 62: 	 loss = 64.3521 	 acc = 0.0000 	 (2.68 seconds/step)
Step 63: 	 loss = 63.9272 	 acc = 0.1250 	 (2.78 seconds/step)
Step 64: 	 loss = 66.6781 	 acc = 0.0000 	 (2.82 seconds/step)
Step 65: 	 loss = 62.7527 	 acc = 0.1250 	 (2.79 seconds/step)
Step 66: 	 loss = 64.6385 	 acc = 0.0000 	 (2.75 seconds/step)
Step 67: 	 loss = 67.2829 	 acc = 0.0000 	 (2.82 seconds/step)
Step 68: 	 loss = 64.3622 	 acc = 0.0000 	 (2.80 seconds/step)
Step 69: 	 loss = 67.6974 	 acc = 0.0000 	 (2.81 seconds/step)
Step 70: 	 loss = 63.9555 	 acc = 0.0000 	 (2.67 seconds/step)
Step 71: 	 loss = 71.4199 	 acc = 0.0000 	 (2.83 seconds/step)
Step 72: 	 loss = 61.8379 	 acc = 0.0000 	 (2.70 seconds/step)
Step 73: 	 loss = 67.3810 	 acc = 0.0000 	 (2.78 seconds/step)
Step 74: 	 loss = 67.9344 	 acc = 0.0000 	 (2.71 seconds/step)
Step 75: 	 loss = 69.6740 	 acc = 0.0000 	 (2.81 seconds/step)
Step 76: 	 loss = 64.0217 	 acc = 0.1250 	 (2.69 seconds/step)
Step 77: 	 loss = 65.6153 	 acc = 0.0000 	 (2.79 seconds/step)
Step 78: 	 loss = 66.7830 	 acc = 0.0000 	 (2.75 seconds/step)
Step 79: 	 loss = 64.4342 	 acc = 0.0000 	 (2.74 seconds/step)
Step 80: 	 loss = 68.0694 	 acc = 0.0000 	 (2.71 seconds/step)
Step 81: 	 loss = 65.7891 	 acc = 0.0000 	 (2.81 seconds/step)
Step 82: 	 loss = 72.4995 	 acc = 0.0000 	 (2.85 seconds/step)
Step 83: 	 loss = 67.5717 	 acc = 0.0000 	 (2.77 seconds/step)
Step 84: 	 loss = 66.5835 	 acc = 0.0000 	 (2.77 seconds/step)
Step 85: 	 loss = 64.1299 	 acc = 0.0000 	 (2.79 seconds/step)
Step 86: 	 loss = 63.9347 	 acc = 0.0000 	 (2.84 seconds/step)
Step 87: 	 loss = 65.4471 	 acc = 0.0000 	 (2.66 seconds/step)
Step 88: 	 loss = 66.3701 	 acc = 0.1250 	 (2.89 seconds/step)
Step 89: 	 loss = 65.6219 	 acc = 0.0000 	 (2.85 seconds/step)
Step 90: 	 loss = 67.1334 	 acc = 0.0000 	 (2.80 seconds/step)
Step 91: 	 loss = 62.8263 	 acc = 0.3750 	 (2.70 seconds/step)
Step 92: 	 loss = 64.2996 	 acc = 0.0000 	 (2.77 seconds/step)
Step 93: 	 loss = 64.6137 	 acc = 0.1250 	 (2.73 seconds/step)
Step 94: 	 loss = 63.0323 	 acc = 0.0000 	 (2.77 seconds/step)
Step 95: 	 loss = 63.2962 	 acc = 0.0000 	 (2.80 seconds/step)
Step 96: 	 loss = 64.4882 	 acc = 0.0000 	 (2.76 seconds/step)
Step 97: 	 loss = 64.6714 	 acc = 0.0000 	 (2.74 seconds/step)
Step 98: 	 loss = 64.8347 	 acc = 0.2500 	 (2.78 seconds/step)
Step 99: 	 loss = 64.2663 	 acc = 0.0000 	 (2.76 seconds/step)
Step 100: 	 loss = 62.7765 	 acc = 0.0000 	 (2.75 seconds/step)
Step 101: 	 loss = 61.0516 	 acc = 0.0000 	 (2.77 seconds/step)
Step 102: 	 loss = 64.8872 	 acc = 0.1250 	 (2.68 seconds/step)
Step 103: 	 loss = 60.5878 	 acc = 0.0000 	 (2.75 seconds/step)
Step 104: 	 loss = 64.2343 	 acc = 0.0000 	 (2.71 seconds/step)
Step 105: 	 loss = 64.5523 	 acc = 0.1250 	 (2.77 seconds/step)
Step 106: 	 loss = 63.3360 	 acc = 0.2500 	 (2.76 seconds/step)
Step 107: 	 loss = 59.0024 	 acc = 0.1250 	 (2.74 seconds/step)
Step 108: 	 loss = 62.8431 	 acc = 0.1250 	 (2.61 seconds/step)
Step 109: 	 loss = 63.4056 	 acc = 0.0000 	 (2.76 seconds/step)
Step 110: 	 loss = 61.5859 	 acc = 0.0000 	 (2.69 seconds/step)
Step 111: 	 loss = 63.8583 	 acc = 0.0000 	 (2.78 seconds/step)
Step 112: 	 loss = 65.5825 	 acc = 0.0000 	 (2.85 seconds/step)
Step 113: 	 loss = 64.4959 	 acc = 0.0000 	 (2.91 seconds/step)
Step 114: 	 loss = 61.8401 	 acc = 0.0000 	 (2.76 seconds/step)
Step 115: 	 loss = 63.6577 	 acc = 0.1250 	 (2.78 seconds/step)
Step 116: 	 loss = 62.0288 	 acc = 0.1250 	 (2.69 seconds/step)
Step 117: 	 loss = 59.6848 	 acc = 0.1250 	 (2.66 seconds/step)
Step 118: 	 loss = 60.5186 	 acc = 0.0000 	 (2.72 seconds/step)
Step 119: 	 loss = 61.7325 	 acc = 0.1250 	 (2.73 seconds/step)
Step 120: 	 loss = 62.4979 	 acc = 0.0000 	 (2.84 seconds/step)
Step 121: 	 loss = 57.9521 	 acc = 0.0000 	 (2.74 seconds/step)
Step 122: 	 loss = 62.4422 	 acc = 0.0000 	 (2.81 seconds/step)
Step 123: 	 loss = 57.0326 	 acc = 0.0000 	 (2.83 seconds/step)
Step 124: 	 loss = 61.5105 	 acc = 0.0000 	 (2.74 seconds/step)
Step 125: 	 loss = 59.3517 	 acc = 0.0000 	 (2.67 seconds/step)
Step 126: 	 loss = 63.2929 	 acc = 0.0000 	 (2.74 seconds/step)
Step 127: 	 loss = 60.6310 	 acc = 0.0000 	 (2.86 seconds/step)
Step 128: 	 loss = 59.2726 	 acc = 0.0000 	 (2.83 seconds/step)
Step 129: 	 loss = 59.2884 	 acc = 0.0000 	 (2.68 seconds/step)
Step 130: 	 loss = 59.0429 	 acc = 0.0000 	 (2.74 seconds/step)
Step 131: 	 loss = 60.6917 	 acc = 0.0000 	 (2.88 seconds/step)
Step 132: 	 loss = 58.0118 	 acc = 0.0000 	 (2.66 seconds/step)
Step 133: 	 loss = 60.3316 	 acc = 0.1250 	 (2.75 seconds/step)
Step 134: 	 loss = 60.3410 	 acc = 0.0000 	 (2.76 seconds/step)
Step 135: 	 loss = 59.5776 	 acc = 0.1250 	 (2.86 seconds/step)
Step 136: 	 loss = 63.6202 	 acc = 0.0000 	 (2.82 seconds/step)
Step 137: 	 loss = 57.5345 	 acc = 0.0000 	 (2.77 seconds/step)
Step 138: 	 loss = 62.8674 	 acc = 0.0000 	 (2.67 seconds/step)
Step 139: 	 loss = 62.1402 	 acc = 0.0000 	 (2.67 seconds/step)
Step 140: 	 loss = 56.0303 	 acc = 0.1250 	 (2.70 seconds/step)
Step 141: 	 loss = 59.2825 	 acc = 0.1250 	 (2.78 seconds/step)
Step 142: 	 loss = 59.3715 	 acc = 0.2500 	 (2.81 seconds/step)
Step 143: 	 loss = 58.2701 	 acc = 0.1250 	 (2.86 seconds/step)
Step 144: 	 loss = 61.1537 	 acc = 0.0000 	 (2.77 seconds/step)
Step 145: 	 loss = 59.0738 	 acc = 0.0000 	 (2.72 seconds/step)
Step 146: 	 loss = 57.7452 	 acc = 0.0000 	 (2.69 seconds/step)
Step 147: 	 loss = 59.3284 	 acc = 0.0000 	 (2.81 seconds/step)
Step 148: 	 loss = 62.7984 	 acc = 0.1250 	 (2.74 seconds/step)
Step 149: 	 loss = 65.2420 	 acc = 0.0000 	 (2.79 seconds/step)
Step 150: 	 loss = 61.2602 	 acc = 0.1250 	 (2.70 seconds/step)
Step 151: 	 loss = 59.6879 	 acc = 0.1250 	 (2.78 seconds/step)
Step 152: 	 loss = 54.2671 	 acc = 0.1250 	 (2.87 seconds/step)
Step 153: 	 loss = 57.9376 	 acc = 0.1250 	 (2.79 seconds/step)
Step 154: 	 loss = 58.1719 	 acc = 0.0000 	 (2.71 seconds/step)
Step 155: 	 loss = 59.3671 	 acc = 0.2500 	 (2.80 seconds/step)
Step 156: 	 loss = 53.3149 	 acc = 0.1250 	 (2.75 seconds/step)
Step 157: 	 loss = 57.5294 	 acc = 0.0000 	 (2.76 seconds/step)
Step 158: 	 loss = 56.1291 	 acc = 0.1250 	 (2.78 seconds/step)
Step 159: 	 loss = 56.5797 	 acc = 0.0000 	 (2.69 seconds/step)
Step 160: 	 loss = 53.0801 	 acc = 0.0000 	 (2.67 seconds/step)
Step 161: 	 loss = 57.5708 	 acc = 0.2500 	 (2.73 seconds/step)
Step 162: 	 loss = 58.7887 	 acc = 0.0000 	 (2.79 seconds/step)
Step 163: 	 loss = 53.0098 	 acc = 0.0000 	 (2.77 seconds/step)
Step 164: 	 loss = 57.8577 	 acc = 0.0000 	 (2.77 seconds/step)
Step 165: 	 loss = 57.2166 	 acc = 0.1250 	 (2.65 seconds/step)
Step 166: 	 loss = 55.7419 	 acc = 0.0000 	 (2.80 seconds/step)
Step 167: 	 loss = 48.4945 	 acc = 0.0000 	 (2.70 seconds/step)
Step 168: 	 loss = 56.2916 	 acc = 0.1250 	 (2.69 seconds/step)
Step 169: 	 loss = 60.5104 	 acc = 0.0000 	 (2.76 seconds/step)
Step 170: 	 loss = 59.1772 	 acc = 0.2500 	 (2.81 seconds/step)
Step 171: 	 loss = 59.4336 	 acc = 0.0000 	 (2.76 seconds/step)
Step 172: 	 loss = 59.3017 	 acc = 0.0000 	 (2.76 seconds/step)
Step 173: 	 loss = 55.3480 	 acc = 0.2500 	 (2.75 seconds/step)
Step 174: 	 loss = 57.1976 	 acc = 0.2500 	 (2.82 seconds/step)
Step 175: 	 loss = 53.4222 	 acc = 0.1250 	 (2.69 seconds/step)
Step 176: 	 loss = 48.6272 	 acc = 0.1250 	 (2.60 seconds/step)
Step 177: 	 loss = 54.3764 	 acc = 0.0000 	 (2.78 seconds/step)
Step 178: 	 loss = 49.9912 	 acc = 0.0000 	 (2.68 seconds/step)
Step 179: 	 loss = 55.6617 	 acc = 0.0000 	 (2.73 seconds/step)
Step 180: 	 loss = 50.0618 	 acc = 0.1250 	 (2.75 seconds/step)
Step 181: 	 loss = 52.3692 	 acc = 0.0000 	 (2.81 seconds/step)
Step 182: 	 loss = 55.5513 	 acc = 0.0000 	 (2.72 seconds/step)
Step 183: 	 loss = 55.2414 	 acc = 0.0000 	 (2.77 seconds/step)
Step 184: 	 loss = 53.5976 	 acc = 0.2500 	 (2.76 seconds/step)
Step 185: 	 loss = 54.9044 	 acc = 0.1250 	 (2.70 seconds/step)
Step 186: 	 loss = 55.5709 	 acc = 0.0000 	 (2.76 seconds/step)
Step 187: 	 loss = 54.6412 	 acc = 0.1250 	 (2.71 seconds/step)
Step 188: 	 loss = 54.4237 	 acc = 0.0000 	 (2.73 seconds/step)
Step 189: 	 loss = 50.0981 	 acc = 0.0000 	 (2.83 seconds/step)
Step 190: 	 loss = 55.6825 	 acc = 0.2500 	 (2.76 seconds/step)
Step 191: 	 loss = 55.2621 	 acc = 0.2500 	 (2.78 seconds/step)
Step 192: 	 loss = 50.9292 	 acc = 0.0000 	 (2.76 seconds/step)
Step 193: 	 loss = 53.8032 	 acc = 0.1250 	 (2.78 seconds/step)
Step 194: 	 loss = 51.3681 	 acc = 0.1250 	 (2.76 seconds/step)
Step 195: 	 loss = 45.9926 	 acc = 0.0000 	 (2.77 seconds/step)
Step 196: 	 loss = 50.6394 	 acc = 0.1250 	 (2.67 seconds/step)
Step 197: 	 loss = 51.3216 	 acc = 0.1250 	 (2.82 seconds/step)
Step 198: 	 loss = 54.2154 	 acc = 0.1250 	 (2.81 seconds/step)
Step 199: 	 loss = 52.3920 	 acc = 0.0000 	 (2.74 seconds/step)
Step 200: 	 loss = 54.1032 	 acc = 0.1250 	 (2.84 seconds/step)
Step 201: 	 loss = 50.3278 	 acc = 0.1250 	 (2.78 seconds/step)
Step 202: 	 loss = 53.9416 	 acc = 0.1250 	 (2.82 seconds/step)
Step 203: 	 loss = 54.6944 	 acc = 0.0000 	 (2.81 seconds/step)
Step 204: 	 loss = 49.3335 	 acc = 0.0000 	 (2.75 seconds/step)
Step 205: 	 loss = 50.7717 	 acc = 0.1250 	 (2.72 seconds/step)
Step 206: 	 loss = 48.8364 	 acc = 0.0000 	 (2.77 seconds/step)
Step 207: 	 loss = 50.4958 	 acc = 0.1250 	 (2.79 seconds/step)
Step 208: 	 loss = 54.1492 	 acc = 0.0000 	 (2.84 seconds/step)
Step 209: 	 loss = 44.4010 	 acc = 0.1250 	 (2.92 seconds/step)
Step 210: 	 loss = 48.8106 	 acc = 0.0000 	 (2.75 seconds/step)
Step 211: 	 loss = 53.3060 	 acc = 0.1250 	 (2.82 seconds/step)
Step 212: 	 loss = 46.9755 	 acc = 0.1250 	 (2.73 seconds/step)
Step 213: 	 loss = 50.3546 	 acc = 0.1250 	 (2.77 seconds/step)
Step 214: 	 loss = 51.8783 	 acc = 0.0000 	 (2.71 seconds/step)
Step 215: 	 loss = 53.6682 	 acc = 0.0000 	 (2.82 seconds/step)
Step 216: 	 loss = 49.0999 	 acc = 0.1250 	 (2.76 seconds/step)
Step 217: 	 loss = 53.4458 	 acc = 0.1250 	 (2.87 seconds/step)
Step 218: 	 loss = 52.3870 	 acc = 0.0000 	 (2.70 seconds/step)
Step 219: 	 loss = 54.6597 	 acc = 0.0000 	 (2.78 seconds/step)
Step 220: 	 loss = 55.3735 	 acc = 0.0000 	 (2.81 seconds/step)
Step 221: 	 loss = 52.5856 	 acc = 0.0000 	 (2.82 seconds/step)
Step 222: 	 loss = 53.7887 	 acc = 0.1250 	 (2.75 seconds/step)
Step 223: 	 loss = 49.0867 	 acc = 0.1250 	 (2.75 seconds/step)
Step 224: 	 loss = 45.8220 	 acc = 0.1250 	 (2.80 seconds/step)
Step 225: 	 loss = 54.0042 	 acc = 0.3750 	 (2.85 seconds/step)
Step 226: 	 loss = 53.7294 	 acc = 0.1250 	 (2.78 seconds/step)
Step 227: 	 loss = 53.0684 	 acc = 0.0000 	 (2.81 seconds/step)
Step 228: 	 loss = 49.7637 	 acc = 0.0000 	 (2.73 seconds/step)
Step 229: 	 loss = 51.5677 	 acc = 0.1250 	 (2.83 seconds/step)
Step 230: 	 loss = 53.8149 	 acc = 0.1250 	 (2.91 seconds/step)
Step 231: 	 loss = 52.2777 	 acc = 0.1250 	 (2.71 seconds/step)
Step 232: 	 loss = 53.1536 	 acc = 0.3750 	 (2.75 seconds/step)
Step 233: 	 loss = 52.4342 	 acc = 0.2500 	 (2.81 seconds/step)
Step 234: 	 loss = 52.4542 	 acc = 0.3750 	 (2.75 seconds/step)
Step 235: 	 loss = 53.4417 	 acc = 0.0000 	 (2.81 seconds/step)
Step 236: 	 loss = 52.2305 	 acc = 0.1250 	 (2.82 seconds/step)
Step 237: 	 loss = 51.8495 	 acc = 0.1250 	 (2.75 seconds/step)
Step 238: 	 loss = 48.0509 	 acc = 0.0000 	 (2.77 seconds/step)
Step 239: 	 loss = 52.6486 	 acc = 0.1250 	 (2.82 seconds/step)
Step 240: 	 loss = 51.6338 	 acc = 0.1250 	 (2.74 seconds/step)
Step 241: 	 loss = 51.1885 	 acc = 0.1250 	 (2.81 seconds/step)
Step 242: 	 loss = 48.4901 	 acc = 0.0000 	 (2.75 seconds/step)
Step 243: 	 loss = 44.4193 	 acc = 0.1250 	 (2.77 seconds/step)
Step 244: 	 loss = 50.4694 	 acc = 0.1250 	 (2.73 seconds/step)
Step 245: 	 loss = 53.1321 	 acc = 0.1250 	 (2.77 seconds/step)
Step 246: 	 loss = 53.2437 	 acc = 0.1250 	 (2.79 seconds/step)
Step 247: 	 loss = 51.1600 	 acc = 0.0000 	 (2.76 seconds/step)
Step 248: 	 loss = 51.2751 	 acc = 0.2500 	 (2.74 seconds/step)
Step 249: 	 loss = 52.9852 	 acc = 0.0000 	 (2.81 seconds/step)
