image,elevation,azimuth,inplane
SMIR.Body.021Y.M.CT.57761_32.png,0.3927,0.8976,0.0
SMIR.Body.021Y.M.CT.57761_33.png,0.3927,1.1968,0.0
SMIR.Body.021Y.M.CT.57761_34.png,0.3927,1.496,0.0
SMIR.Body.021Y.M.CT.57761_35.png,0.3927,1.7952,0.0
SMIR.Body.021Y.M.CT.57761_36.png,0.3927,2.0944,0.0
SMIR.Body.021Y.M.CT.57761_37.png,0.3927,2.3936,0.0
SMIR.Body.021Y.M.CT.57761_38.png,0.3927,2.6928,0.0
SMIR.Body.021Y.M.CT.57761_39.png,0.3927,2.992,0.0
SMIR.Body.021Y.M.CT.57761_40.png,0.3927,3.2912,0.0
SMIR.Body.021Y.M.CT.57761_41.png,0.3927,3.5904,0.0
SMIR.Body.021Y.M.CT.57761_42.png,0.3927,3.8896,0.0
SMIR.Body.021Y.M.CT.57761_43.png,0.3927,4.1888,0.0
SMIR.Body.021Y.M.CT.57761_44.png,0.3927,4.488,0.0
SMIR.Body.021Y.M.CT.57761_45.png,0.3927,4.7872,0.0
SMIR.Body.021Y.M.CT.57761_46.png,0.3927,5.0864,0.0
SMIR.Body.021Y.M.CT.57761_47.png,0.3927,5.3856,0.0
SMIR.Body.021Y.M.CT.57761_48.png,0.3927,5.6848,0.0
SMIR.Body.021Y.M.CT.57761_49.png,0.3927,5.984,0.0
SMIR.Body.021Y.M.CT.57761_50.png,0.5049,0.0,0.0
SMIR.Body.021Y.M.CT.57761_51.png,0.5049,0.2327,0.0
SMIR.Body.021Y.M.CT.57761_52.png,0.5049,0.4654,0.0
SMIR.Body.021Y.M.CT.57761_53.png,0.5049,0.6981,0.0
SMIR.Body.021Y.M.CT.57761_54.png,0.5049,0.9308,0.0
SMIR.Body.021Y.M.CT.57761_55.png,0.5049,1.1636,0.0
SMIR.Body.021Y.M.CT.57761_56.png,0.5049,1.3963,0.0
SMIR.Body.021Y.M.CT.57761_57.png,0.5049,1.629,0.0
SMIR.Body.021Y.M.CT.57761_58.png,0.5049,1.8617,0.0
SMIR.Body.021Y.M.CT.57761_59.png,0.5049,2.0944,0.0
SMIR.Body.021Y.M.CT.57761_60.png,0.5049,2.3271,0.0
SMIR.Body.021Y.M.CT.57761_61.png,0.5049,2.5598,0.0
SMIR.Body.021Y.M.CT.57761_62.png,0.5049,2.7925,0.0
SMIR.Body.021Y.M.CT.57761_63.png,0.5049,3.0252,0.0
SMIR.Body.021Y.M.CT.57761_64.png,0.5049,3.2579,0.0
SMIR.Body.021Y.M.CT.57761_65.png,0.5049,3.4907,0.0
SMIR.Body.021Y.M.CT.57761_66.png,0.5049,3.7234,0.0
SMIR.Body.021Y.M.CT.57761_67.png,0.5049,3.9561,0.0
SMIR.Body.021Y.M.CT.57761_68.png,0.5049,4.1888,0.0
SMIR.Body.021Y.M.CT.57761_69.png,0.5049,4.4215,0.0
SMIR.Body.021Y.M.CT.57761_70.png,0.5049,4.6542,0.0
SMIR.Body.021Y.M.CT.57761_71.png,0.5049,4.8869,0.0
SMIR.Body.021Y.M.CT.57761_72.png,0.5049,5.1196,0.0
SMIR.Body.021Y.M.CT.57761_73.png,0.5049,5.3523,0.0
SMIR.Body.021Y.M.CT.57761_74.png,0.5049,5.5851,0.0
SMIR.Body.021Y.M.CT.57761_75.png,0.5049,5.8178,0.0
SMIR.Body.021Y.M.CT.57761_76.png,0.5049,6.0505,0.0
SMIR.Body.021Y.M.CT.57761_77.png,0.6171,0.0,0.0
SMIR.Body.021Y.M.CT.57761_78.png,0.6171,0.1963,0.0
SMIR.Body.021Y.M.CT.57761_79.png,0.6171,0.3927,0.0
SMIR.Body.021Y.M.CT.57761_80.png,0.6171,0.589,0.0
SMIR.Body.021Y.M.CT.57761_81.png,0.6171,0.7854,0.0
SMIR.Body.021Y.M.CT.57761_82.png,0.6171,0.9817,0.0
SMIR.Body.021Y.M.CT.57761_83.png,0.6171,1.1781,0.0
SMIR.Body.021Y.M.CT.57761_84.png,0.6171,1.3744,0.0
SMIR.Body.021Y.M.CT.57761_85.png,0.6171,1.5708,0.0
SMIR.Body.021Y.M.CT.57761_86.png,0.6171,1.7671,0.0
SMIR.Body.021Y.M.CT.57761_87.png,0.6171,1.9635,0.0
SMIR.Body.021Y.M.CT.57761_88.png,0.6171,2.1598,0.0
SMIR.Body.021Y.M.CT.57761_89.png,0.6171,2.3562,0.0
SMIR.Body.021Y.M.CT.57761_90.png,0.6171,2.5525,0.0
SMIR.Body.021Y.M.CT.57761_91.png,0.6171,2.7489,0.0
SMIR.Body.021Y.M.CT.57761_92.png,0.6171,2.9452,0.0
SMIR.Body.021Y.M.CT.57761_93.png,0.6171,3.1416,0.0
SMIR.Body.021Y.M.CT.57761_94.png,0.6171,3.3379,0.0
SMIR.Body.021Y.M.CT.57761_95.png,0.6171,3.5343,0.0
SMIR.Body.021Y.M.CT.57761_96.png,0.6171,3.7306,0.0
SMIR.Body.021Y.M.CT.57761_97.png,0.6171,3.927,0.0
SMIR.Body.021Y.M.CT.57761_98.png,0.6171,4.1233,0.0
SMIR.Body.021Y.M.CT.57761_99.png,0.6171,4.3197,0.0
SMIR.Body.021Y.M.CT.57761_100.png,0.6171,4.516,0.0
SMIR.Body.021Y.M.CT.57761_101.png,0.6171,4.7124,0.0
SMIR.Body.021Y.M.CT.57761_102.png,0.6171,4.9087,0.0
SMIR.Body.021Y.M.CT.57761_103.png,0.6171,5.1051,0.0
SMIR.Body.021Y.M.CT.57761_104.png,0.6171,5.3014,0.0
SMIR.Body.021Y.M.CT.57761_105.png,0.6171,5.4978,0.0
SMIR.Body.021Y.M.CT.57761_106.png,0.6171,5.6941,0.0
SMIR.Body.021Y.M.CT.57761_107.png,0.6171,5.8905,0.0
SMIR.Body.021Y.M.CT.57761_108.png,0.6171,6.0868,0.0
SMIR.Body.021Y.M.CT.57761_109.png,0.7293,0.0,0.0
SMIR.Body.021Y.M.CT.57761_110.png,0.7293,0.1698,0.0
SMIR.Body.021Y.M.CT.57761_111.png,0.7293,0.3396,0.0
SMIR.Body.021Y.M.CT.57761_112.png,0.7293,0.5094,0.0
SMIR.Body.021Y.M.CT.57761_113.png,0.7293,0.6793,0.0
SMIR.Body.021Y.M.CT.57761_114.png,0.7293,0.8491,0.0
SMIR.Body.021Y.M.CT.57761_115.png,0.7293,1.0189,0.0
SMIR.Body.021Y.M.CT.57761_116.png,0.7293,1.1887,0.0
SMIR.Body.021Y.M.CT.57761_117.png,0.7293,1.3585,0.0
SMIR.Body.021Y.M.CT.57761_118.png,0.7293,1.5283,0.0
SMIR.Body.021Y.M.CT.57761_119.png,0.7293,1.6982,0.0
SMIR.Body.021Y.M.CT.57761_120.png,0.7293,1.868,0.0
SMIR.Body.021Y.M.CT.57761_121.png,0.7293,2.0378,0.0
SMIR.Body.021Y.M.CT.57761_122.png,0.7293,2.2076,0.0
SMIR.Body.021Y.M.CT.57761_123.png,0.7293,2.3774,0.0
SMIR.Body.021Y.M.CT.57761_124.png,0.7293,2.5472,0.0
SMIR.Body.021Y.M.CT.57761_125.png,0.7293,2.7171,0.0
SMIR.Body.021Y.M.CT.57761_126.png,0.7293,2.8869,0.0
SMIR.Body.021Y.M.CT.57761_127.png,0.7293,3.0567,0.0
SMIR.Body.021Y.M.CT.57761_128.png,0.7293,3.2265,0.0
SMIR.Body.021Y.M.CT.57761_129.png,0.7293,3.3963,0.0
SMIR.Body.021Y.M.CT.57761_130.png,0.7293,3.5661,0.0
SMIR.Body.021Y.M.CT.57761_131.png,0.7293,3.7359,0.0
SMIR.Body.021Y.M.CT.57761_132.png,0.7293,3.9058,0.0
SMIR.Body.021Y.M.CT.57761_133.png,0.7293,4.0756,0.0
SMIR.Body.021Y.M.CT.57761_134.png,0.7293,4.2454,0.0
SMIR.Body.021Y.M.CT.57761_135.png,0.7293,4.4152,0.0
SMIR.Body.021Y.M.CT.57761_136.png,0.7293,4.585,0.0
SMIR.Body.021Y.M.CT.57761_137.png,0.7293,4.7548,0.0
SMIR.Body.021Y.M.CT.57761_138.png,0.7293,4.9247,0.0
SMIR.Body.021Y.M.CT.57761_139.png,0.7293,5.0945,0.0
SMIR.Body.021Y.M.CT.57761_140.png,0.7293,5.2643,0.0
SMIR.Body.021Y.M.CT.57761_141.png,0.7293,5.4341,0.0
SMIR.Body.021Y.M.CT.57761_142.png,0.7293,5.6039,0.0
SMIR.Body.021Y.M.CT.57761_143.png,0.7293,5.7737,0.0
SMIR.Body.021Y.M.CT.57761_144.png,0.7293,5.9436,0.0
SMIR.Body.021Y.M.CT.57761_145.png,0.7293,6.1134,0.0
SMIR.Body.021Y.M.CT.57761_146.png,0.8415,0.0,0.0
SMIR.Body.021Y.M.CT.57761_147.png,0.8415,0.1496,0.0
SMIR.Body.021Y.M.CT.57761_148.png,0.8415,0.2992,0.0
SMIR.Body.021Y.M.CT.57761_149.png,0.8415,0.4488,0.0
SMIR.Body.021Y.M.CT.57761_150.png,0.8415,0.5984,0.0
SMIR.Body.021Y.M.CT.57761_151.png,0.8415,0.748,0.0
SMIR.Body.021Y.M.CT.57761_152.png,0.8415,0.8976,0.0
SMIR.Body.021Y.M.CT.57761_153.png,0.8415,1.0472,0.0
SMIR.Body.021Y.M.CT.57761_154.png,0.8415,1.1968,0.0
SMIR.Body.021Y.M.CT.57761_155.png,0.8415,1.3464,0.0
SMIR.Body.021Y.M.CT.57761_156.png,0.8415,1.496,0.0
SMIR.Body.021Y.M.CT.57761_157.png,0.8415,1.6456,0.0
SMIR.Body.021Y.M.CT.57761_158.png,0.8415,1.7952,0.0
SMIR.Body.021Y.M.CT.57761_159.png,0.8415,1.9448,0.0
SMIR.Body.021Y.M.CT.57761_160.png,0.8415,2.0944,0.0
SMIR.Body.021Y.M.CT.57761_161.png,0.8415,2.244,0.0
SMIR.Body.021Y.M.CT.57761_162.png,0.8415,2.3936,0.0
SMIR.Body.021Y.M.CT.57761_163.png,0.8415,2.5432,0.0
SMIR.Body.021Y.M.CT.57761_164.png,0.8415,2.6928,0.0
SMIR.Body.021Y.M.CT.57761_165.png,0.8415,2.8424,0.0
SMIR.Body.021Y.M.CT.57761_166.png,0.8415,2.992,0.0
SMIR.Body.021Y.M.CT.57761_167.png,0.8415,3.1416,0.0
SMIR.Body.021Y.M.CT.57761_168.png,0.8415,3.2912,0.0
SMIR.Body.021Y.M.CT.57761_169.png,0.8415,3.4408,0.0
SMIR.Body.021Y.M.CT.57761_170.png,0.8415,3.5904,0.0
SMIR.Body.021Y.M.CT.57761_171.png,0.8415,3.74,0.0
SMIR.Body.021Y.M.CT.57761_172.png,0.8415,3.8896,0.0
SMIR.Body.021Y.M.CT.57761_173.png,0.8415,4.0392,0.0
SMIR.Body.021Y.M.CT.57761_174.png,0.8415,4.1888,0.0
SMIR.Body.021Y.M.CT.57761_175.png,0.8415,4.3384,0.0
SMIR.Body.021Y.M.CT.57761_176.png,0.8415,4.488,0.0
SMIR.Body.021Y.M.CT.57761_177.png,0.8415,4.6376,0.0
SMIR.Body.021Y.M.CT.57761_178.png,0.8415,4.7872,0.0
SMIR.Body.021Y.M.CT.57761_179.png,0.8415,4.9368,0.0
SMIR.Body.021Y.M.CT.57761_180.png,0.8415,5.0864,0.0
SMIR.Body.021Y.M.CT.57761_181.png,0.8415,5.236,0.0
SMIR.Body.021Y.M.CT.57761_182.png,0.8415,5.3856,0.0
SMIR.Body.021Y.M.CT.57761_183.png,0.8415,5.5352,0.0
SMIR.Body.021Y.M.CT.57761_184.png,0.8415,5.6848,0.0
SMIR.Body.021Y.M.CT.57761_185.png,0.8415,5.8344,0.0
SMIR.Body.021Y.M.CT.57761_186.png,0.8415,5.984,0.0
SMIR.Body.021Y.M.CT.57761_187.png,0.8415,6.1336,0.0
SMIR.Body.021Y.M.CT.57761_188.png,0.9537,0.0,0.0
SMIR.Body.021Y.M.CT.57761_189.png,0.9537,0.1366,0.0
SMIR.Body.021Y.M.CT.57761_190.png,0.9537,0.2732,0.0
SMIR.Body.021Y.M.CT.57761_191.png,0.9537,0.4098,0.0
SMIR.Body.021Y.M.CT.57761_192.png,0.9537,0.5464,0.0
SMIR.Body.021Y.M.CT.57761_193.png,0.9537,0.683,0.0
SMIR.Body.021Y.M.CT.57761_194.png,0.9537,0.8195,0.0
SMIR.Body.021Y.M.CT.57761_195.png,0.9537,0.9561,0.0
SMIR.Body.021Y.M.CT.57761_196.png,0.9537,1.0927,0.0
SMIR.Body.021Y.M.CT.57761_197.png,0.9537,1.2293,0.0
SMIR.Body.021Y.M.CT.57761_198.png,0.9537,1.3659,0.0
SMIR.Body.021Y.M.CT.57761_199.png,0.9537,1.5025,0.0
SMIR.Body.021Y.M.CT.57761_200.png,0.9537,1.6391,0.0
SMIR.Body.021Y.M.CT.57761_201.png,0.9537,1.7757,0.0
SMIR.Body.021Y.M.CT.57761_202.png,0.9537,1.9123,0.0
SMIR.Body.021Y.M.CT.57761_203.png,0.9537,2.0489,0.0
SMIR.Body.021Y.M.CT.57761_204.png,0.9537,2.1855,0.0
SMIR.Body.021Y.M.CT.57761_205.png,0.9537,2.322,0.0
SMIR.Body.021Y.M.CT.57761_206.png,0.9537,2.4586,0.0
SMIR.Body.021Y.M.CT.57761_207.png,0.9537,2.5952,0.0
SMIR.Body.021Y.M.CT.57761_208.png,0.9537,2.7318,0.0
SMIR.Body.021Y.M.CT.57761_209.png,0.9537,2.8684,0.0
SMIR.Body.021Y.M.CT.57761_210.png,0.9537,3.005,0.0
SMIR.Body.021Y.M.CT.57761_211.png,0.9537,3.1416,0.0
SMIR.Body.021Y.M.CT.57761_212.png,0.9537,3.2782,0.0
SMIR.Body.021Y.M.CT.57761_213.png,0.9537,3.4148,0.0
SMIR.Body.021Y.M.CT.57761_214.png,0.9537,3.5514,0.0
SMIR.Body.021Y.M.CT.57761_215.png,0.9537,3.688,0.0
SMIR.Body.021Y.M.CT.57761_216.png,0.9537,3.8245,0.0
SMIR.Body.021Y.M.CT.57761_217.png,0.9537,3.9611,0.0
SMIR.Body.021Y.M.CT.57761_218.png,0.9537,4.0977,0.0
SMIR.Body.021Y.M.CT.57761_219.png,0.9537,4.2343,0.0
SMIR.Body.021Y.M.CT.57761_220.png,0.9537,4.3709,0.0
SMIR.Body.021Y.M.CT.57761_221.png,0.9537,4.5075,0.0
SMIR.Body.021Y.M.CT.57761_222.png,0.9537,4.6441,0.0
SMIR.Body.021Y.M.CT.57761_223.png,0.9537,4.7807,0.0
SMIR.Body.021Y.M.CT.57761_224.png,0.9537,4.9173,0.0
SMIR.Body.021Y.M.CT.57761_225.png,0.9537,5.0539,0.0
SMIR.Body.021Y.M.CT.57761_226.png,0.9537,5.1905,0.0
SMIR.Body.021Y.M.CT.57761_227.png,0.9537,5.327,0.0
SMIR.Body.021Y.M.CT.57761_228.png,0.9537,5.4636,0.0
SMIR.Body.021Y.M.CT.57761_229.png,0.9537,5.6002,0.0
SMIR.Body.021Y.M.CT.57761_230.png,0.9537,5.7368,0.0
SMIR.Body.021Y.M.CT.57761_231.png,0.9537,5.8734,0.0
SMIR.Body.021Y.M.CT.57761_232.png,0.9537,6.01,0.0
SMIR.Body.021Y.M.CT.57761_233.png,0.9537,6.1466,0.0
SMIR.Body.021Y.M.CT.57761_234.png,1.0659,0.0,0.0
SMIR.Body.021Y.M.CT.57761_235.png,1.0659,0.1282,0.0
SMIR.Body.021Y.M.CT.57761_236.png,1.0659,0.2565,0.0
SMIR.Body.021Y.M.CT.57761_237.png,1.0659,0.3847,0.0
SMIR.Body.021Y.M.CT.57761_238.png,1.0659,0.5129,0.0
SMIR.Body.021Y.M.CT.57761_239.png,1.0659,0.6411,0.0
SMIR.Body.021Y.M.CT.57761_240.png,1.0659,0.7694,0.0
SMIR.Body.021Y.M.CT.57761_241.png,1.0659,0.8976,0.0
SMIR.Body.021Y.M.CT.57761_242.png,1.0659,1.0258,0.0
SMIR.Body.021Y.M.CT.57761_243.png,1.0659,1.1541,0.0
SMIR.Body.021Y.M.CT.57761_244.png,1.0659,1.2823,0.0
SMIR.Body.021Y.M.CT.57761_245.png,1.0659,1.4105,0.0
SMIR.Body.021Y.M.CT.57761_246.png,1.0659,1.5387,0.0
SMIR.Body.021Y.M.CT.57761_247.png,1.0659,1.667,0.0
SMIR.Body.021Y.M.CT.57761_248.png,1.0659,1.7952,0.0
SMIR.Body.021Y.M.CT.57761_249.png,1.0659,1.9234,0.0
SMIR.Body.021Y.M.CT.57761_250.png,1.0659,2.0517,0.0
SMIR.Body.021Y.M.CT.57761_251.png,1.0659,2.1799,0.0
SMIR.Body.021Y.M.CT.57761_252.png,1.0659,2.3081,0.0
SMIR.Body.021Y.M.CT.57761_253.png,1.0659,2.4363,0.0
SMIR.Body.021Y.M.CT.57761_254.png,1.0659,2.5646,0.0
SMIR.Body.021Y.M.CT.57761_255.png,1.0659,2.6928,0.0
SMIR.Body.021Y.M.CT.57761_256.png,1.0659,2.821,0.0
SMIR.Body.021Y.M.CT.57761_257.png,1.0659,2.9493,0.0
SMIR.Body.021Y.M.CT.57761_258.png,1.0659,3.0775,0.0
SMIR.Body.021Y.M.CT.57761_259.png,1.0659,3.2057,0.0
SMIR.Body.021Y.M.CT.57761_260.png,1.0659,3.3339,0.0
SMIR.Body.021Y.M.CT.57761_261.png,1.0659,3.4622,0.0
SMIR.Body.021Y.M.CT.57761_262.png,1.0659,3.5904,0.0
SMIR.Body.021Y.M.CT.57761_263.png,1.0659,3.7186,0.0
SMIR.Body.021Y.M.CT.57761_264.png,1.0659,3.8468,0.0
SMIR.Body.021Y.M.CT.57761_265.png,1.0659,3.9751,0.0
SMIR.Body.021Y.M.CT.57761_266.png,1.0659,4.1033,0.0
SMIR.Body.021Y.M.CT.57761_267.png,1.0659,4.2315,0.0
SMIR.Body.021Y.M.CT.57761_268.png,1.0659,4.3598,0.0
SMIR.Body.021Y.M.CT.57761_269.png,1.0659,4.488,0.0
SMIR.Body.021Y.M.CT.57761_270.png,1.0659,4.6162,0.0
SMIR.Body.021Y.M.CT.57761_271.png,1.0659,4.7444,0.0
SMIR.Body.021Y.M.CT.57761_272.png,1.0659,4.8727,0.0
SMIR.Body.021Y.M.CT.57761_273.png,1.0659,5.0009,0.0
SMIR.Body.021Y.M.CT.57761_274.png,1.0659,5.1291,0.0
SMIR.Body.021Y.M.CT.57761_275.png,1.0659,5.2574,0.0
SMIR.Body.021Y.M.CT.57761_276.png,1.0659,5.3856,0.0
SMIR.Body.021Y.M.CT.57761_277.png,1.0659,5.5138,0.0
SMIR.Body.021Y.M.CT.57761_278.png,1.0659,5.642,0.0
SMIR.Body.021Y.M.CT.57761_279.png,1.0659,5.7703,0.0
SMIR.Body.021Y.M.CT.57761_280.png,1.0659,5.8985,0.0
SMIR.Body.021Y.M.CT.57761_281.png,1.0659,6.0267,0.0
SMIR.Body.021Y.M.CT.57761_282.png,1.0659,6.155,0.0
SMIR.Body.021Y.M.CT.57761_283.png,1.1781,0.0,0.0
SMIR.Body.021Y.M.CT.57761_284.png,1.1781,0.1208,0.0
SMIR.Body.021Y.M.CT.57761_285.png,1.1781,0.2417,0.0
SMIR.Body.021Y.M.CT.57761_286.png,1.1781,0.3625,0.0
SMIR.Body.021Y.M.CT.57761_287.png,1.1781,0.4833,0.0
SMIR.Body.021Y.M.CT.57761_288.png,1.1781,0.6042,0.0
SMIR.Body.021Y.M.CT.57761_289.png,1.1781,0.725,0.0
SMIR.Body.021Y.M.CT.57761_290.png,1.1781,0.8458,0.0
SMIR.Body.021Y.M.CT.57761_291.png,1.1781,0.9666,0.0
SMIR.Body.021Y.M.CT.57761_292.png,1.1781,1.0875,0.0
SMIR.Body.021Y.M.CT.57761_293.png,1.1781,1.2083,0.0
SMIR.Body.021Y.M.CT.57761_294.png,1.1781,1.3291,0.0
SMIR.Body.021Y.M.CT.57761_295.png,1.1781,1.45,0.0
SMIR.Body.021Y.M.CT.57761_296.png,1.1781,1.5708,0.0
SMIR.Body.021Y.M.CT.57761_297.png,1.1781,1.6916,0.0
SMIR.Body.021Y.M.CT.57761_298.png,1.1781,1.8125,0.0
SMIR.Body.021Y.M.CT.57761_299.png,1.1781,1.9333,0.0
SMIR.Body.021Y.M.CT.57761_300.png,1.1781,2.0541,0.0
SMIR.Body.021Y.M.CT.57761_301.png,1.1781,2.1749,0.0
SMIR.Body.021Y.M.CT.57761_302.png,1.1781,2.2958,0.0
SMIR.Body.021Y.M.CT.57761_303.png,1.1781,2.4166,0.0
SMIR.Body.021Y.M.CT.57761_304.png,1.1781,2.5374,0.0
SMIR.Body.021Y.M.CT.57761_305.png,1.1781,2.6583,0.0
SMIR.Body.021Y.M.CT.57761_306.png,1.1781,2.7791,0.0
SMIR.Body.021Y.M.CT.57761_307.png,1.1781,2.8999,0.0
SMIR.Body.021Y.M.CT.57761_308.png,1.1781,3.0208,0.0
SMIR.Body.021Y.M.CT.57761_309.png,1.1781,3.1416,0.0
SMIR.Body.021Y.M.CT.57761_310.png,1.1781,3.2624,0.0
SMIR.Body.021Y.M.CT.57761_311.png,1.1781,3.3833,0.0
SMIR.Body.021Y.M.CT.57761_312.png,1.1781,3.5041,0.0
SMIR.Body.021Y.M.CT.57761_313.png,1.1781,3.6249,0.0
SMIR.Body.021Y.M.CT.57761_314.png,1.1781,3.7457,0.0
SMIR.Body.021Y.M.CT.57761_315.png,1.1781,3.8666,0.0
SMIR.Body.021Y.M.CT.57761_316.png,1.1781,3.9874,0.0
SMIR.Body.021Y.M.CT.57761_317.png,1.1781,4.1082,0.0
SMIR.Body.021Y.M.CT.57761_318.png,1.1781,4.2291,0.0
SMIR.Body.021Y.M.CT.57761_319.png,1.1781,4.3499,0.0
SMIR.Body.021Y.M.CT.57761_320.png,1.1781,4.4707,0.0
SMIR.Body.021Y.M.CT.57761_321.png,1.1781,4.5916,0.0
SMIR.Body.021Y.M.CT.57761_322.png,1.1781,4.7124,0.0
SMIR.Body.021Y.M.CT.57761_323.png,1.1781,4.8332,0.0
SMIR.Body.021Y.M.CT.57761_324.png,1.1781,4.954,0.0
SMIR.Body.021Y.M.CT.57761_325.png,1.1781,5.0749,0.0
SMIR.Body.021Y.M.CT.57761_326.png,1.1781,5.1957,0.0
SMIR.Body.021Y.M.CT.57761_327.png,1.1781,5.3165,0.0
SMIR.Body.021Y.M.CT.57761_328.png,1.1781,5.4374,0.0
SMIR.Body.021Y.M.CT.57761_329.png,1.1781,5.5582,0.0
SMIR.Body.021Y.M.CT.57761_330.png,1.1781,5.679,0.0
SMIR.Body.021Y.M.CT.57761_331.png,1.1781,5.7999,0.0
SMIR.Body.021Y.M.CT.57761_332.png,1.1781,5.9207,0.0
SMIR.Body.021Y.M.CT.57761_333.png,1.1781,6.0415,0.0
SMIR.Body.021Y.M.CT.57761_334.png,1.1781,6.1624,0.0
SMIR.Body.021Y.M.CT.57761_335.png,1.2903,0.0,0.0
SMIR.Body.021Y.M.CT.57761_336.png,1.2903,0.1164,0.0
SMIR.Body.021Y.M.CT.57761_337.png,1.2903,0.2327,0.0
SMIR.Body.021Y.M.CT.57761_338.png,1.2903,0.3491,0.0
SMIR.Body.021Y.M.CT.57761_339.png,1.2903,0.4654,0.0
SMIR.Body.021Y.M.CT.57761_340.png,1.2903,0.5818,0.0
SMIR.Body.021Y.M.CT.57761_341.png,1.2903,0.6981,0.0
SMIR.Body.021Y.M.CT.57761_342.png,1.2903,0.8145,0.0
SMIR.Body.021Y.M.CT.57761_343.png,1.2903,0.9308,0.0
SMIR.Body.021Y.M.CT.57761_344.png,1.2903,1.0472,0.0
SMIR.Body.021Y.M.CT.57761_345.png,1.2903,1.1636,0.0
SMIR.Body.021Y.M.CT.57761_346.png,1.2903,1.2799,0.0
SMIR.Body.021Y.M.CT.57761_347.png,1.2903,1.3963,0.0
SMIR.Body.021Y.M.CT.57761_348.png,1.2903,1.5126,0.0
SMIR.Body.021Y.M.CT.57761_349.png,1.2903,1.629,0.0
SMIR.Body.021Y.M.CT.57761_350.png,1.2903,1.7453,0.0
SMIR.Body.021Y.M.CT.57761_351.png,1.2903,1.8617,0.0
SMIR.Body.021Y.M.CT.57761_352.png,1.2903,1.978,0.0
SMIR.Body.021Y.M.CT.57761_353.png,1.2903,2.0944,0.0
SMIR.Body.021Y.M.CT.57761_354.png,1.2903,2.2108,0.0
SMIR.Body.021Y.M.CT.57761_355.png,1.2903,2.3271,0.0
SMIR.Body.021Y.M.CT.57761_356.png,1.2903,2.4435,0.0
SMIR.Body.021Y.M.CT.57761_357.png,1.2903,2.5598,0.0
SMIR.Body.021Y.M.CT.57761_358.png,1.2903,2.6762,0.0
SMIR.Body.021Y.M.CT.57761_359.png,1.2903,2.7925,0.0
SMIR.Body.021Y.M.CT.57761_360.png,1.2903,2.9089,0.0
SMIR.Body.021Y.M.CT.57761_361.png,1.2903,3.0252,0.0
SMIR.Body.021Y.M.CT.57761_362.png,1.2903,3.1416,0.0
SMIR.Body.021Y.M.CT.57761_363.png,1.2903,3.2579,0.0
SMIR.Body.021Y.M.CT.57761_364.png,1.2903,3.3743,0.0
SMIR.Body.021Y.M.CT.57761_365.png,1.2903,3.4907,0.0
SMIR.Body.021Y.M.CT.57761_366.png,1.2903,3.607,0.0
SMIR.Body.021Y.M.CT.57761_367.png,1.2903,3.7234,0.0
SMIR.Body.021Y.M.CT.57761_368.png,1.2903,3.8397,0.0
